"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 14:15:48 CST 2026","Tue Mar 03 14:15:49 CST 2026","1041","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-011_\u6ce8\u518c\u6210\u529f]","测试用户注册接口的各种场景"
"failed","Tue Mar 03 14:15:53 CST 2026","Tue Mar 03 14:15:54 CST 2026","1253","testcase.test_user","test_user_api","TestUserAPI","","","test_logout[TC-AUTH-023_\u672a\u767b\u5f55\u7528\u6237\u767b\u51fa]","测试用户登出接口的各种场景"
"passed","Tue Mar 03 14:15:50 CST 2026","Tue Mar 03 14:15:50 CST 2026","290","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-016_\u5bc6\u7801\u4e0d\u4e00\u81f4]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:15:59 CST 2026","Tue Mar 03 14:16:00 CST 2026","1448","testcase.test_wish","test_wish_api","TestWishAPI","","","test_my_wishes[TC-WISH-007_\u6743\u9650\u9a8c\u8bc1]","测试获取我的心愿列表接口"
"passed","Tue Mar 03 14:15:51 CST 2026","Tue Mar 03 14:15:51 CST 2026","346","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-021_\u6587\u4ef6\u8fc7\u5927]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:15:48 CST 2026","Tue Mar 03 14:15:48 CST 2026","113","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-011_\u9519\u53c2-\u65e0\u6548\u8eab\u4efd\u503c]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:14:04 CST 2026","Tue Mar 03 14:14:04 CST 2026","127","testcase.test_appeal","test_appeal_api","TestAppealAPI","","","test_submit_appeal[TC-APPEAL-003_\u8bc4\u4ef7\u4e0d\u5b58\u5728]","测试提交评价申诉接口的各种场景"
"passed","Tue Mar 03 14:15:46 CST 2026","Tue Mar 03 14:15:46 CST 2026","86","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-005_\u7528\u6237\u540d\u5b57\u6bb5\u503c\u4e3a\u7a7a]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:13:59 CST 2026","Tue Mar 03 14:13:59 CST 2026","412","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-025_\u64cd\u4f5c\u4e0d\u5b58\u5728\u7684\u7533\u8bc9]","测试管理员审核申诉的各种场景"
"passed","Tue Mar 03 14:13:32 CST 2026","Tue Mar 03 14:13:35 CST 2026","3633","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_manage[TC-ADMIN-001_\u83b7\u53d6\u6240\u6709\u7528\u6237]","测试管理员获取用户列表的各种场景"
"failed","Tue Mar 03 14:13:39 CST 2026","Tue Mar 03 14:13:40 CST 2026","91","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_user_audit[TC-ADMIN-006_\u62d2\u7edd\u5ba1\u6838]","测试管理员审核用户的各种场景"
"passed","Tue Mar 03 14:14:11 CST 2026","Tue Mar 03 14:14:12 CST 2026","273","testcase.test_credit","test_credit_api","TestCreditAPI","","","test_credit_appeal[TC-CREDIT-010_\u7533\u8bc9\u5185\u5bb9\u4e3a\u7a7a]","测试提交信用申诉接口的各种场景"
"failed","Tue Mar 03 14:14:44 CST 2026","Tue Mar 03 14:14:53 CST 2026","9345","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-004_received_item\u4e3a\u7a7a]","测试提交商品评价接口的各种场景"
"passed","Tue Mar 03 14:15:43 CST 2026","Tue Mar 03 14:15:44 CST 2026","999","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-001_\u5b66\u751f\u7528\u6237\u6210\u529f\u767b\u5f55]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:15:54 CST 2026","Tue Mar 03 14:15:55 CST 2026","995","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-026_\u63d0\u4ea4\u6210\u529f]","测试密码重置申请接口的各种场景"
"passed","Tue Mar 03 14:13:48 CST 2026","Tue Mar 03 14:13:49 CST 2026","1182","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-2_\u83b7\u53d6\u5df2\u63d0\u4ea4\u7533\u8bc9\u5217\u8868]","测试管理员获取申诉管理数据"
